,0,1,2,3,Cluster
소외,3.628921,-0.97028476,-1.0081663,-0.7907966,10
다이어트,-1.9650546,-2.3324,-0.75175303,0.12858681,13
실패,6.5202694,0.4552515,6.8327174,3.912184,12
긍정,1.9493893,-0.2621305,-1.3594372,-0.050947286,10
피자,-5.8258905,-3.1200156,0.20210896,0.17180976,15
식사,-3.8920615,-0.6282333,-0.4078103,0.7021883,15
거절,5.4826727,5.071183,10.949218,-0.46995467,16
후회,1.3188404,3.19078,2.6757965,1.4956167,0
불만,6.168167,6.174925,-1.9111927,-2.5207424,7
의문,4.088467,4.311427,-2.8710003,-0.291217,7
인정,11.538601,-1.572,3.9392815,2.133899,9
무지,0.48963574,2.053619,-1.4650548,0.51374257,2
노력,7.4656305,3.3627815,-3.577652,0.28600225,7
외면,2.7041066,1.2520361,1.3950372,0.4480974,18
피곤,-1.0586131,-1.0190836,0.4467056,0.6232373,8
기절,-0.9882464,-0.22092915,2.3546553,3.3431587,0
식욕,-1.8529735,-0.7715689,-2.5097764,0.5134758,1
수치,0.7071411,-2.1710796,-5.196388,2.742273,1
소비,1.6452962,-5.8556027,-2.227684,1.43477,10
운동,3.9169137,-3.1394444,-4.3831987,-4.190744,20
취소,7.0398655,-4.7332516,5.457927,-1.0530027,9
포기,5.7147517,-0.27841493,6.374179,0.24811344,9
춤,-6.370312,4.2717366,-2.6068945,-0.027882196,5
노래,-5.775206,4.8201203,-0.43349603,-1.4669728,5
미남,-4.1598105,0.095290914,-0.2972495,-0.63057756,15
웃음,-2.7683117,2.757477,-2.7676551,-0.25212294,5
친구,-6.058226,7.488245,1.7780137,-1.3856424,4
왕자,-5.611523,4.9406686,4.8448358,-2.040787,4
술,-5.163097,3.2760968,1.4745221,-1.4860363,4
간,-1.9847288,-5.1174903,-0.42232502,-1.9158212,14
불안,4.6658506,3.1461685,-3.7956774,1.1851017,7
복수,0.6111673,1.1120281,1.5882477,-1.1990494,18
외모,-2.3477075,4.05063,-5.3281145,1.175146,11
짜증,-1.4808098,-1.0514325,-0.16677435,-0.55796474,13
분노,3.1109903,8.289978,3.3981762,2.7351096,16
공포,3.4536066,-0.52554023,0.027742224,-1.4649945,18
비상,1.8294655,-6.1698613,-0.48173857,-2.0531397,14
질책,0.5644574,1.0368546,2.8554945,-0.14327978,18
사랑,-2.207795,12.286773,-1.1804905,0.30053625,11
연민,-1.12094,0.07087677,-0.5468786,-1.5657423,13
행복,0.7157854,5.9755425,-4.2690587,-1.0235368,11
만남,-2.19402,2.2509062,-1.9178755,-2.391112,2
무관심,2.4630268,1.2420472,-1.7644349,-0.12758306,2
만족,6.2361803,1.51211,-1.074348,6.4812455,7
해명,5.3621078,1.6185982,1.8757095,0.010513809,18
울음,-3.326636,0.0015196105,0.06611693,0.8343575,8
쟁취,1.0965735,-1.6979065,1.7432199,-1.0568033,18
당황,1.2731128,2.624279,3.2886035,3.6450822,0
구경,-3.5836911,-2.4039862,0.030713134,2.0054286,15
비밀,0.76618004,0.2876877,0.8261996,-4.9861565,2
유혹,-0.5229848,5.212017,3.1772702,2.3949676,0
계획,5.1182203,-4.016109,0.11415543,-5.216462,3
대충,-2.1555037,-1.9924254,0.080688685,-0.53484595,13
귀찮,-1.4088606,0.5313746,0.2943841,0.36486626,8
관리,6.418906,-8.612312,-1.0644566,-3.1882155,3
칭찬,1.9960837,5.0935082,2.683634,1.3853455,16
지목,4.4925737,-0.66575384,7.4758105,1.0070949,12
제재,7.085687,-1.8919661,-0.6567505,-2.7251778,20
공부,1.4242218,0.05202538,4.6401606,3.5984607,12
충격,3.046064,3.8791585,-3.6054268,2.909313,7
비난,8.4585,6.7853575,4.0443897,-0.87450355,16
공격,3.4732,1.5703434,7.081185,5.2886677,12
위협,8.706235,4.21844,0.6708663,0.9495907,7
구타,1.0039057,0.79284763,4.689883,0.99112564,12
경고,4.7729707,0.8022972,2.829195,-0.6680591,18
만류,0.596741,1.9702061,4.9065084,-0.30436227,18
의욕,0.33769622,0.8225695,-3.1661716,-1.5246514,2
연애,-0.9260398,3.1658986,-2.4190507,-1.2584963,2
거짓말,1.0168668,4.6939607,0.89734244,-0.12736157,0
자녀,0.9591413,2.4904685,-0.3860802,-5.178973,2
수염,-6.0938873,2.9628477,-0.9997652,1.8897249,5
지침,6.4663224,-2.4230082,-5.2567177,-5.069198,20
쓸쓸,-1.5428642,-0.75161254,0.6742028,0.018433012,8
가족,-0.37526655,1.9313753,-0.87407255,-5.6930246,2
부족,3.3576949,-2.6771321,-2.5129268,4.1196856,10
욕설,0.74549335,1.4753275,-0.5741174,-0.6363469,2
고소,3.8180368,0.773632,4.8372183,-0.49131298,18
저주,-0.8379986,6.662767,2.779559,0.08284843,16
조언,4.0405445,4.055353,1.4048662,-3.528874,18
걱정,3.203406,6.1552444,1.7373118,3.7374005,16
무시,6.1338553,1.8392824,2.5707319,3.5968616,18
대답,2.3014379,6.2439547,3.648737,1.9706224,16
고독,-2.0009,2.29347,-1.3717364,-0.38381168,2
사죄,2.8727024,0.8664161,2.820913,-2.8962443,18
인사,3.5090396,-2.9575427,0.7390207,-8.941305,3
개,-2.8856122,-8.007285,-1.3833467,0.37770993,14
감탄,-0.548771,1.9166985,1.8565804,1.8650677,0
등장,-3.8684967,-2.4497461,4.9775443,10.291661,6
경멸,1.5404656,2.2366602,-0.20061336,-0.34875244,2
일,-2.8760176,-4.4660983,4.631546,-4.0400143,13
친절,0.42685586,3.28223,-0.37905928,1.1865113,0
방관,0.35627288,-1.12327,1.7050226,-0.23050343,8
숫자,-1.5361509,-2.6852365,-3.6791513,1.9928578,1
발견,-1.1567897,-3.4456317,3.6166897,12.339089,6
수면,-1.6552681,-2.039469,-5.7557993,2.40429,1
예민,-0.6790728,-0.28193548,-1.3406404,2.6242933,8
양심,3.1179028,1.1405605,-1.2934893,-4.2982674,2
감성,-1.6182357,0.9049735,-5.0367193,-0.4278222,1
확인,7.31875,-3.7501264,2.776978,5.653517,17
음료,-5.3383074,-3.080194,-2.9072204,0.22850105,1
탕진,0.3048934,-1.7207763,2.146027,0.01948029,8
눈치,-1.4772944,0.42117965,1.6949646,0.34113315,8
긴장,2.8299983,1.0165297,-3.923327,1.4571306,7
응답,3.44028,-0.54849106,-0.028903043,1.1365249,10
주저,0.06311025,0.7152605,2.1253448,0.3590759,18
마무리,0.31409916,-2.2920232,4.3046966,1.7688353,12
고함,-1.8715538,-0.46609065,0.6496405,-1.2259862,13
신체,3.7092009,-0.6555053,-7.875889,1.4033314,19
진정,3.894759,1.5116594,0.84714836,1.1740675,18
부정,8.418434,0.49822515,1.596464,-0.06813388,9
출생,-2.1584122,-1.672974,5.005236,3.5068123,12
울분,-1.2995884,-0.88281584,0.50219184,-1.072922,13
규칙,4.0463758,-3.2083066,-5.4878936,-3.1866312,20
처벌,11.600593,2.662182,3.2716327,-2.0056148,9
혈압,-1.2912037,-2.553664,-2.742273,0.48181412,1
시간,-0.5765861,-2.664451,-6.314651,2.4987803,1
의사,6.657363,-0.3776733,-2.9604537,-7.2334437,20
나이,-5.92475,0.9286489,2.7534432,1.4608002,15
얌전,-2.0753005,-0.6916969,0.27623355,0.5695892,8
실수,2.0292554,1.4702411,-0.38559014,2.0061204,0
응시,2.716235,-2.4222722,3.0106082,3.27408,17
최악,0.15282775,-2.477294,0.11099771,0.5973072,8
지시,6.028862,-0.9902323,4.602536,-3.7865205,9
아기,-5.5864487,4.4061174,0.3165619,0.8553049,5
경계,2.5219557,-1.4532018,-2.4679055,0.6730454,10
기상,-0.7115564,-6.8597913,-4.0200195,0.64409614,14
휴가,-2.8979235,-0.92897934,2.402366,-2.4627376,13
희망,2.2944279,3.1796374,-1.2039472,-3.9523704,2
가출,-0.91421777,-0.5619012,1.6714119,-0.20530756,8
소개,0.9487614,-1.9818935,3.0886552,4.4811535,17
감사,3.5725396,-2.286098,1.1698698,-3.9624746,3
응원,-1.4441191,-0.605645,1.3736674,-0.100229576,8
메뉴,-3.8329158,-4.726324,-3.000805,-0.9919567,1
노출,2.976439,-4.4975724,-3.2267406,9.574687,6
고기,-5.972961,0.45804265,-2.0961535,2.4641948,5
정신,2.1655235,3.3014226,-6.97631,-3.7633667,11
슬픔,-2.3839355,7.091618,-2.6235304,-1.4030896,11
아줌마,-3.1882977,-1.347411,0.5927573,-1.4898386,13
대결,-1.1627972,2.4436057,1.8221942,1.5268527,0
행방,-1.3410637,1.751982,1.8527472,-1.2845056,4
소심,-1.4465265,0.5544001,0.51782596,0.73322535,8
최고,-1.3700752,-5.7433195,0.17817721,-2.4837477,14
복제,1.9924221,-3.85657,-1.482482,2.7046363,10
박수,-2.6029027,-0.36863068,1.8869381,-1.527761,13
마스크,-4.52574,-1.0259954,0.16553158,0.9964465,15
체력,-0.17477614,-0.6547144,-5.9046617,1.0180757,1
아침,-5.8678284,-0.20913613,1.3737447,0.48774558,15
실망,2.0338519,3.7792685,1.7909465,2.6696093,0
강아지,-4.340281,-0.25636664,0.28931528,-0.7715935,15
자책,-1.3065593,-1.56832,1.2930806,0.11490067,8
제거,5.21834,-2.3944955,2.6653092,7.198925,17
의도,6.4551654,2.6302779,-3.2351854,-1.5423275,7
한심,-1.3304496,-0.89476484,0.4089466,-0.3365221,8
음식,-4.9540076,2.1421738,-6.252065,0.10804585,5
집중,4.418215,-6.107005,-1.8093516,5.4348354,10
은밀,-0.79898167,-0.43324417,1.182278,-0.23359583,8
세수,-1.0133334,-3.2001412,-0.5813579,-1.5403852,13
벌레,-6.325752,2.0052903,-1.8441882,3.0345562,5
어색,-1.0735486,-0.04452046,-0.37278235,2.2396727,8
침묵,0.55350685,2.1208596,-0.018168483,-0.38659617,2
닭,-6.5144997,-0.10469331,-1.2270846,0.7613601,15
여유,-0.06100118,-1.0046114,-4.4111223,0.21727249,1
재산,6.5037093,0.21974401,-2.1621988,-6.729039,20
통곡,-1.5744754,0.07371202,2.2456923,0.8298294,8
이동,1.9746224,-6.2579703,1.7854462,8.498729,6
트집,-2.0483527,-0.69399214,0.90846294,-1.6583283,13
대머리,-2.9690819,0.38144153,2.87946,-1.8433306,4
반응,3.6714015,2.1291506,-6.8484497,6.0094357,19
사람,-0.5852292,7.479841,-3.7656775,-2.1421301,11
머리,-6.221861,4.039884,0.05543758,2.953729,5
혼돈,-0.77775836,-0.34796187,-2.3752034,0.6165419,1
공감,2.2504272,1.9979099,-2.511434,0.36975682,2
요리,-5.677059,0.9694322,-1.2438965,-0.49675393,15
행운,-2.290075,1.4598006,-1.044335,-1.1053865,2
방어,3.6462405,-3.5629654,0.61395264,2.4295716,10
휴식,-1.4997284,-0.691887,-2.8610563,-0.9343654,1
다툼,2.8019807,0.8462651,0.5537933,-1.5465049,18
미모,-2.854644,2.4044342,-1.0758989,-0.9995363,5
원통,-2.5693357,-2.5507174,-0.94791126,1.0468508,1
쥐,-5.482078,0.57137007,1.5873643,2.0080419,15
익숙,0.12475871,0.035848007,-1.0914962,4.5036397,0
바보,-3.065295,2.1263607,-0.61096656,-0.4751195,5
주말,-3.873964,-3.23417,-0.8666051,-1.23929,13
보람,-1.9221191,-1.4098016,-0.2382192,-1.9523764,13
