,0,1,2,3,Cluster
고생,-0.16569164,2.7324266,0.9193959,3.5841372,0
자랑,-1.1273129,0.60546976,-0.3543977,4.9185104,0
당황,1.2725747,2.6342645,3.2719405,3.6536057,0
싫,-1.8980867,2.5082247,1.1197419,0.8342263,0
유혹,-0.52340794,5.207531,3.180917,2.3930664,0
사냥,-2.0400782,2.493934,0.9239663,4.0133376,0
훌륭,0.1983262,3.5117836,-1.0098773,3.7426307,0
거짓말,1.0163738,4.692855,0.8982095,-0.12855825,0
잔혹,0.30686906,1.5363381,0.83195007,0.5349363,0
감탄,-0.5488638,1.918633,1.8509071,1.8694254,0
친절,0.42632806,3.293562,-0.39993554,1.1997166,0
사악,-1.1865656,2.9870417,0.98405397,1.5795467,0
한탄,0.08810769,1.5232766,2.496365,1.0405285,0
각성,0.27327234,1.5477233,-1.3413476,3.2264776,0
질투,-0.07117234,4.290872,0.32065994,1.1299624,0
실수,2.029346,1.4680616,-0.3829691,2.0099182,0
궁금,1.3882028,-0.01871219,1.4699676,2.4772587,0
대결,-1.1632341,2.4345908,1.8321817,1.5372171,0
실망,2.0336092,3.7884223,1.7769927,2.6760166,0
흥분,1.575254,1.929401,-2.098916,4.224344,0
고민,2.7450993,3.8300354,-0.28652397,2.097501,0
익숙,0.12382654,0.050386935,-1.1152583,4.5139356,0
냉정,0.85067785,2.3034549,-0.62900925,1.7650261,0
조용,-0.9754575,1.7202828,0.17610855,3.4847884,0
도전,2.7928865,1.3424531,0.32973626,1.8194025,0
불쾌,0.65336305,3.4881213,0.4749743,2.738296,0
편안,-1.0302324,1.6424707,-0.95322186,2.2038834,0
감동,0.64077014,5.4429483,-0.308008,1.042036,0
어쩌,1.9608682,2.298128,2.6494102,1.7225964,0
입,-2.6358068,1.732327,2.9641328,3.0593734,0
염려,4.4183755,2.3237104,2.3017294,3.1255965,0
싸움,-1.5038606,5.8005486,1.6565181,0.6029116,0
후회,1.3189212,3.192612,2.674319,1.4918437,0
가난,1.1142206,5.739152,1.0916137,2.4336755,0
식욕,-1.8531029,-0.77190405,-2.5100505,0.5117575,1
음료,-5.3380876,-3.07819,-2.9028935,0.21813986,1
두뇌,-0.72173303,-1.2089242,-4.7627373,0.18579513,1
